시군명,기관명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,전화번호정보,홈페이지URL,비고
고양시,고양시발달장애인지원센터,경기도 고양시 덕양구 주교동 591번지,경기도 고양시 덕양구 원당로 59번길 92,10459,37.6606554336,126.8303467460,031-8075-3647,www.,발달장애인지원센터
고양시,고양시장애인가족지원센터,경기도 고양시 덕양구 주교동 591번지,경기도 고양시 덕양구 원당로 59번길 92,10459,37.6606554336,126.8303467460,031-8075-3650,www.,가족지원센터
광명시,광명시장애인가족지원센터,경기도 광명시 하안동 302-11번지,경기도 광명시 오리로 653,14303,37.4594056765,126.8768089223,02-897-7077,www.gmfamily.or.kr,가족지원센터
광명시,광명언어심리발달센터,경기도 광명시 소하동 1338-1번지 6층,경기도 광명시 소하길 109번길 19 6층,14316,37.4476496731,126.8849785294,02-898-9962,https://blog.naver.com/gmcenter0414,재활치료시설
구리시,구리시장애인가족지원센터,경기도 구리시 수택동 851번지 2층,"경기도 구리시 이문안로 86, 2층",11940,37.5917955741,127.1410589771,031-556-0660,www.gurifamily.or.kr,가족지원센터
김포시,김포시장애아동재활센터,경기도 김포시 사우동 870번지,경기도 김포시 사우중로100,10111,37.6230561834,126.7222834418,031-989-8662,http://gpwc.or.kr/bbs/content.php?co_id=gpwc,재활치료시설
부천시,부천시장애인인권센터,경기도 부천시 내동 60번지 장애인회관 203호,경기도 부천시 신흥로 364 203호,14491,37.5161471251,126.7758764065,032-625-9710,www.,인권센터
성남시,성남시장애인가족지원센터,경기도 성남시 수정구 태평동 5113-9번지 3층,경기도 성남시 수정구 성남대로 1334 3층,13306,37.4488600714,127.1271473517,031-753-7926,https://snfs.modoo.at/,가족지원센터
성남시,성남시장애인권리증진센터,경기도 성남시 분당구 야탑동 171번지,경기도 성남시 분당구 야탑로 227,13508,37.4082244802,127.1441400527,031-725-9507,http://sungjangin.org,인권센터
성남시,스스로아동센터,"경기도 성남시 분당구 정자동 6번지 상가동 2층 211, 212호","경기도 성남시 정자일로248 상가동 2층 211, 212호",13554,37.3760887175,127.1066351176,031-606-9952,https://www.ssroi.co.kr/,재활치료시설
수원시,경기도발달장애인지원센터,경기도 수원시 권선구 오목천동 677번지 경기도장애인복지종합지원센터 304호,경기도 수원시 권선구 서수원로 130 304호,16639,37.2393956779,126.9728438967,031-548-1393,http://broso.or.kr/gyeonggi/mainPage.do,발달장애인지원센터
수원시,경기도장애인가족지원센터,경기도 수원시 권선구 오목천동 677번지 경기도장애인복지종합지원센터 305호,경기도 수원시 권선구 서수원로 130 305호,16639,37.2393956779,126.9728438967,031-239-6393,www.ggdf.co.kr,가족지원센터
수원시,경기도장애인권익옹호기관,경기도 수원시 권선구 오목천동 677번지,경기도 수원시 권선구 서수원로 130,16639,37.2393956779,126.9728438967,070-4699-6480,http://www.ggaapd.or.kr/,장애인권익옹호기관
수원시,수원시장애인가족지원센터,경기도 수원시 권선구 서둔동 225-1번지 더함파크 1층,경기도 수원시 권선구 수인로 126 더함파크 1층,16429,37.2740857670,126.9861600249,031-297-3748,http://swfamily.or.kr,가족지원센터
시흥시,시흥시장애인가족지원센터,경기도 시흥시 대야동 652-4번지,경기도 시흥시 은계중앙로306번길 63,15120,37.4523095487,126.7961083218,031-313-0693,www.shfamily.or.kr,가족지원센터
안산시,안산시장애인가족지원센터,,경기도 안산시 상록구 차돌배기로 15번길 15 구상록구청 c동,,,,031-411-3488,www.asfamily.or.kr,가족지원센터
안성시,안성시 장애아재활치료교육센터,경기도 안성시 현수동 619-2번지,경기도 안성시 배티로 1097,17596,37.0013277094,127.2812633974,031-675-0075,https://askids11111.wixsite.com/askids,재활치료시설
안양시,안양시장애인인권센터,경기도 안양시 동안구 비산동 1017-12번지,경기도 안양시 동안구 평촌대로 421-4,13918,37.4085001951,126.9501920876,031-464-1119,http://www.ayhr.org/,인권센터
양평군,양평군장애아동발달지원센터,경기도 양평군 양평읍 공흥리 310-4번지,경기도 양평군 양평읍 중앙로111번길 36-1,12550,37.4968061605,127.5037898877,031-773-9080,https://www.yprehab.or.kr/bbs/board.php?bo_table=0308,재활치료시설
양평군,양평군장애인가족지원센터,경기도 양평군 양평읍 공흥리 1-1번지 1층,경기도 양평군 양평읍 농업기술센터길 37 1층,12547,37.5092443268,127.5132950178,031-771-1080,www.ypfamily.or.kr,가족지원센터
양평군,한국발도르프특수교육지원센터,경기도 양평군 옥천면 신복리 946-2번지,경기도 양평군 옥천면 원통이길 49-19,12505,37.5319782398,127.4558925542,031-774-1346,http://camphill.or.kr/,재활치료시설
연천군,연천군장애인가족지원센터,경기도 연천군 전곡읍 전곡리 232-21번지 102호,경기도 연천군 전곡읍 전곡로 13-1 102호,11031,38.0154398270,127.0707863295,031-833-5533,https://www.facebook.com/ycjang1004,가족지원센터
오산시,오산시장애아재활치료교육센터,경기도 오산시 오산동 852-11번지,경기도 오산시 오산로 272번길 37,18135,37.1511808817,127.0727131510,031-375-5001,http://www.osankids.or.kr/,재활치료시설
용인시,그린나래발달센터,경기도 용인시 기흥구 중동 842번지 주네브스타월드빌딩 221호,경기도 용인시 기흥구 동백중앙로 225-6 주네브 스타월드 빌딩 221호,17006,37.2739540026,127.1501984866,031-679-0297,www.,재활치료시설
용인시,마음드림심리상담센터,"경기도 용인시 기흥구 구갈동 595번지 301,501호","경기도 용인시 기흥구 강남로 8, 301,501호",16978,37.2709004844,127.1272935690,031-286-4231,http://www.xn--jk1b49av7g2bwcu34dwyaw2h69mw1y.ct.do/,재활치료시설
용인시,예지원가족발달센터,경기도 용인시 처인구 김량장동 296-53번지 아이렉스타워 401호,경기도 용인시 처인구 금령로64 아이렉스타워 401호,17051,37.2346455808,127.2036595284,031-322-8485,www.,재활치료시설
용인시,용인시장애아재활치료교육센터,경기도 용인시 처인구 김량장동 351-21번지,경기도 용인시 처인구 중부대로 1408번길 5-14,17062,37.2321179695,127.2021926191,031-333-7275,https://yrtc.or.kr/main/main.php,재활치료시설
용인시,이화자람발달센터,경기도 용인시 기흥구 동백동 598-4번지 유타운 상가 501호,"경기도 용인시 기흥구 동백중앙로 358-12, 501(동백동, 유타운상가)",17003,37.2819785867,127.1602237494,031-283-5242,http://www.ewhajaram.com/default/,재활치료시설
의왕시,의왕시장애아재활치료교육센터,경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 105호,"경기도 의왕시 오전공업길 13, 벽산선영테크노피아 105호",16072,37.3556206901,126.9668380017,031-455-5613,http://www.uwkids.or.kr/,재활치료시설
의왕시,의왕시장애인가족지원센터,경기도 의왕시 고천동 279-3번지,경기도 의왕시 경수대로 236,16063,37.3479392804,126.9745247038,031-477-7228,http://uwfamily.or.kr,가족지원센터
의정부시,경기북부장애인가족지원센터,경기도 의정부시 용현동 7번지,경기도 의정부시 충의로 73,11786,37.7383365005,127.0865214831,031-852-1202,www.ggfamily.or.kr,가족지원센터
의정부시,경기북부장애인권익옹호기관,경기도 의정부시 민락동 805-2번지,경기도 의정부시 오목로225번길 140,11813,37.7450262816,127.0948723680,031-851-1007,www.ggnaapd.or.kr,장애인권익옹호기관
의정부시,의정부시장애인가족지원센터,경기도 의정부시 금오동 80-19번지,경기도 의정부시 상금로 33,11764,37.7577980643,127.0744248877,031-848-8980,http://www.ujbfamily.co.kr/,가족지원센터
